08:27:57.310	SERVER	admin	OK	Server was started (port: 1984).
08:27:57.591	SERVER	admin	OK	HTTP Server was started (port: 8984).
08:27:58.807	127.0.0.1:49234	admin	REQUEST	[GET] http://localhost:8984/
08:27:59.775	127.0.0.1:49234	admin	200		981.53 ms
08:28:10.117	127.0.0.1:49237	admin	REQUEST	XQUERY for $mid in doc('C:/XML_DB/Inter-Data/kbalinks_02_08_2016_XML.xml')//record where $mid / hsn = '0005' and $mid / tsn = '765' order by $mid ascending return $mid	35.39 ms
08:28:12.972	127.0.0.1:49237	admin	OK	Query executed in 2849.03 ms.	2850.09 ms
08:28:12.972	127.0.0.1:49237	admin	REQUEST	EXIT	0.34 ms
08:28:12.972	127.0.0.1:49237	admin	OK		0.28 ms
08:28:12.972	127.0.0.1:49239	admin	REQUEST	XQUERY let $record:= for $x in doc('C:/XML_DB/Inter-Data/middata_V49_4 BMW ONLY_XML.xml')//* where $x/mid ='BMW14752' return $x for $y in $record//* let $childnodename := $y/name() let $childnodevalue := data($y) return concat($childnodename, ' : ', $childnodevalue)	0.51 ms
08:28:14.033	127.0.0.1:49239	admin	OK	Query executed in 1049.76 ms.	1050.21 ms
08:28:14.033	127.0.0.1:49239	admin	REQUEST	EXIT	0.21 ms
08:28:14.033	127.0.0.1:49239	admin	OK		0.12 ms
08:28:14.049	127.0.0.1:49240	admin	REQUEST	XQUERY for $mid in doc('C:/XML_DB/Inter-Data/MIDANDLINKS/BMW_Links.xml')//MID[@ID='BMW14752']//Category[@ID='WAM'] return $mid/Link	0.43 ms
08:28:14.501	127.0.0.1:49240	admin	OK	Query executed in 438.04 ms.	438.31 ms
08:28:14.501	127.0.0.1:49240	admin	REQUEST	EXIT	0.22 ms
08:28:14.501	127.0.0.1:49240	admin	OK		0.12 ms
08:28:19.899	127.0.0.1:49242	admin	REQUEST	XQUERY for $wam in doc('C:/XML_DB/Inter-Data/WHEEL_ALIGNMENT/DATA/19846.xml')//WAMDATA/ADB/ITEM return data($wam/@ID)	0.76 ms
08:28:19.914	127.0.0.1:49242	admin	OK	Query executed in 19.97 ms.	20.55 ms
08:28:19.930	127.0.0.1:49242	admin	REQUEST	XQUERY for $item in doc('C:/XML_DB/Inter-Data/SCRIPTS/GER/wa_ger.xml')//ITEM[@ID='1'] return $item/TEXTLEFT	0.53 ms
08:28:19.930	127.0.0.1:49242	admin	OK	Query executed in 9.14 ms.	9.64 ms
08:28:19.930	127.0.0.1:49242	admin	REQUEST	XQUERY for $wam in doc('C:/XML_DB/Inter-Data/WHEEL_ALIGNMENT/DATA/19846.xml')//WAMDATA/ADB/ITEM where $wam/@ID='1' return $wam	0.5 ms
08:28:19.946	127.0.0.1:49242	admin	OK	Query executed in 4.79 ms.	5.17 ms
08:28:19.946	127.0.0.1:49242	admin	REQUEST	XQUERY for $item in doc('C:/XML_DB/Inter-Data/SCRIPTS/GER/wa_ger.xml')//ITEM[@ID='1'] return $item/TEXTRIGHT	0.23 ms
08:28:19.946	127.0.0.1:49242	admin	OK	Query executed in 4.21 ms.	4.44 ms
08:28:19.946	127.0.0.1:49242	admin	REQUEST	XQUERY for $item in doc('C:/XML_DB/Inter-Data/SCRIPTS/GER/wa_ger.xml')//ITEM[@ID='2'] return $item/TEXTLEFT	0.23 ms
08:28:19.946	127.0.0.1:49242	admin	OK	Query executed in 3.87 ms.	4.08 ms
08:28:19.961	127.0.0.1:49242	admin	REQUEST	XQUERY for $wam in doc('C:/XML_DB/Inter-Data/WHEEL_ALIGNMENT/DATA/19846.xml')//WAMDATA/ADB/ITEM where $wam/@ID='2' return $wam	0.26 ms
08:28:19.961	127.0.0.1:49242	admin	OK	Query executed in 3.74 ms.	3.96 ms
